recv[232] = -1.227029, hard = 0
recv[233] = -0.247720, hard = 0
recv[234] = -1.516249, hard = 0
recv[235] = -2.521151, hard = 0
recv[236] = -2.121217, hard = 0
recv[237] = -1.795241, hard = 0
recv[238] = -0.610796, hard = 0
recv[239] = -0.046234, hard = 0
recv[240] = -1.810530, hard = 0
recv[241] = -1.343659, hard = 0
recv[242] = 0.349951, hard = 1
recv[243] = -1.035572, hard = 0
recv[244] = -1.764321, hard = 0
recv[245] = 0.212234, hard = 1
recv[246] = -0.671555, hard = 0
recv[247] = -0.993789, hard = 0
recv[248] = -1.249282, hard = 0
recv[249] = -1.114664, hard = 0
recv[250] = -0.765560, hard = 0
recv[251] = -0.979643, hard = 0
recv[252] = -2.396699, hard = 0
recv[253] = -0.508092, hard = 0
recv[254] = -1.481525, hard = 0
recv[255] = -1.428212, hard = 0
recv[256] = -1.391640, hard = 0
recv[257] = -1.420634, hard = 0
recv[258] = -0.590775, hard = 0
recv[259] = -0.635010, hard = 0
recv[260] = -1.162616, hard = 0
recv[261] = -1.616556, hard = 0
recv[262] = -0.029028, hard = 0
recv[263] = -0.773942, hard = 0
recv[264] = -1.324153, hard = 0
recv[265] = -0.600818, hard = 0
recv[266] = -0.128870, hard = 0
recv[267] = -0.426005, hard = 0
recv[268] = -0.744884, hard = 0
recv[269] = -1.997153, hard = 0
recv[270] = -0.665553, hard = 0
recv[271] = 0.347373, hard = 1
recv[272] = -1.239477, hard = 0
recv[273] = -1.250205, hard = 0
recv[274] = -1.263334, hard = 0
recv[275] = -1.974849, hard = 0
recv[276] = -0.906025, hard = 0
recv[277] = -0.117756, hard = 0
recv[278] = 0.386120, hard = 1
recv[279] = -1.271861, hard = 0
recv[280] = -1.751438, hard = 0
recv[281] = -0.420046, hard = 0
recv[282] = -1.925058, hard = 0
recv[283] = -1.473079, hard = 0
recv[284] = -2.027951, hard = 0
recv[285] = -2.609084, hard = 0
recv[286] = 0.867828, hard = 1
recv[287] = -0.997652, hard = 0
recv[288] = -1.735067, hard = 0
recv[289] = -0.866270, hard = 0
recv[290] = 0.456681, hard = 1
recv[291] = -1.987219, hard = 0
recv[292] = -0.213894, hard = 0
recv[293] = -0.764686, hard = 0
recv[294] = -1.512347, hard = 0
recv[295] = -1.435582, hard = 0
recv[296] = -1.307314, hard = 0
recv[297] = -1.512978, hard = 0
recv[298] = -0.449888, hard = 0
recv[299] = -0.883195, hard = 0
recv[300] = -0.627617, hard = 0
recv[301] = -1.880854, hard = 0
recv[302] = -1.434940, hard = 0
recv[303] = -1.819885, hard = 0
recv[304] = -0.997711, hard = 0
recv[305] = -0.594535, hard = 0
recv[306] = -1.139320, hard = 0
recv[307] = -0.901138, hard = 0
recv[308] = -1.339920, hard = 0
recv[309] = -2.186770, hard = 0
recv[310] = -2.188545, hard = 0
recv[311] = -1.275375, hard = 0
recv[312] = -1.160815, hard = 0
recv[313] = 0.000363, hard = 1
recv[314] = -1.180881, hard = 0
recv[315] = -1.407484, hard = 0
recv[316] = 0.602950, hard = 1
recv[317] = -1.966795, hard = 0
recv[318] = -1.960840, hard = 0
recv[319] = -0.041812, hard = 0
recv[320] = -1.821347, hard = 0
recv[321] = -1.246744, hard = 0
recv[322] = 0.315220, hard = 1
recv[323] = -1.239685, hard = 0
recv[324] = -1.599995, hard = 0
recv[325] = -0.654717, hard = 0
recv[326] = -0.164675, hard = 0
recv[327] = -1.142717, hard = 0
recv[328] = 0.005898, hard = 1
recv[329] = -0.205054, hard = 0
recv[330] = 1.069240, hard = 1
recv[331] = -1.486993, hard = 0
recv[332] = 0.974467, hard = 1
recv[333] = -1.340312, hard = 0
recv[334] = -0.991519, hard = 0
recv[335] = 0.512197, hard = 1
recv[336] = 0.667957, hard = 1
recv[337] = 0.186400, hard = 1
recv[338] = -1.375563, hard = 0
recv[339] = -1.482638, hard = 0
recv[340] = -0.900038, hard = 0
recv[341] = 0.036407, hard = 1
recv[342] = -0.069913, hard = 0
recv[343] = -0.765077, hard = 0
recv[344] = -1.822803, hard = 0
recv[345] = -2.593969, hard = 0
recv[346] = -1.258589, hard = 0
recv[347] = -0.856106, hard = 0
recv[348] = 0.049967, hard = 1
recv[349] = -0.342579, hard = 0
recv[350] = -0.269024, hard = 0
recv[351] = -0.501618, hard = 0
recv[352] = -0.232498, hard = 0
recv[353] = -1.146444, hard = 0
recv[354] = -0.808563, hard = 0
recv[355] = -1.948567, hard = 0
recv[356] = -1.598890, hard = 0
recv[357] = -0.570442, hard = 0
recv[358] = -1.876363, hard = 0
recv[359] = -1.706614, hard = 0
recv[360] = -1.603139, hard = 0
recv[361] = -0.173314, hard = 0
recv[362] = -1.148082, hard = 0
recv[363] = -0.703719, hard = 0
recv[364] = -0.223387, hard = 0
recv[365] = -0.737615, hard = 0
recv[366] = -2.258865, hard = 0
recv[367] = -1.704326, hard = 0
recv[368] = -0.621514, hard = 0
recv[369] = -1.239871, hard = 0
recv[370] = -0.675924, hard = 0
recv[371] = -0.832565, hard = 0
recv[372] = -1.993284, hard = 0
recv[373] = -2.098729, hard = 0
recv[374] = -1.387995, hard = 0
recv[375] = -1.028391, hard = 0
recv[376] = -2.584322, hard = 0
recv[377] = -0.789713, hard = 0
recv[378] = -2.269887, hard = 0
recv[379] = -1.700789, hard = 0
recv[380] = -0.111946, hard = 0
recv[381] = -1.320532, hard = 0
recv[382] = -0.435806, hard = 0
recv[383] = -1.512426, hard = 0
recv[384] = 0.176952, hard = 1
recv[385] = -0.612724, hard = 0
recv[386] = -1.195283, hard = 0
recv[387] = -0.083598, hard = 0
recv[388] = -2.239229, hard = 0
recv[389] = -1.694299, hard = 0
recv[390] = -0.597604, hard = 0
recv[391] = -1.270013, hard = 0
recv[392] = -2.079077, hard = 0
recv[393] = -1.536789, hard = 0
recv[394] = -0.533876, hard = 0
recv[395] = -0.604751, hard = 0
recv[396] = -0.839621, hard = 0
recv[397] = -2.348734, hard = 0
recv[398] = 0.225044, hard = 1
recv[399] = -2.077875, hard = 0
recv[400] = -0.177342, hard = 0
recv[401] = -0.021341, hard = 0
recv[402] = -0.891999, hard = 0
recv[403] = -1.291162, hard = 0
recv[404] = 0.107072, hard = 1
recv[405] = -0.475782, hard = 0
recv[406] = -0.002709, hard = 0
recv[407] = 0.754754, hard = 1
recv[408] = -1.265832, hard = 0
recv[409] = -1.319824, hard = 0
recv[410] = -1.799931, hard = 0
recv[411] = -1.333363, hard = 0
recv[412] = -0.554864, hard = 0
recv[413] = -0.522979, hard = 0
recv[414] = -0.061633, hard = 0
recv[415] = -1.102974, hard = 0
recv[416] = -0.993298, hard = 0
recv[417] = -2.201314, hard = 0
recv[418] = -0.664407, hard = 0
recv[419] = -2.185392, hard = 0
recv[420] = -0.814888, hard = 0
recv[421] = -0.449303, hard = 0
recv[422] = -1.166920, hard = 0
recv[423] = -1.946498, hard = 0
recv[424] = -0.986641, hard = 0
recv[425] = -2.914570, hard = 0
recv[426] = -1.361584, hard = 0
recv[427] = -1.519826, hard = 0
recv[428] = -1.989589, hard = 0
recv[429] = -0.386543, hard = 0
recv[430] = -1.641535, hard = 0
recv[431] = -0.145590, hard = 0
recv[432] = -0.078402, hard = 0
recv[433] = -0.066173, hard = 0
recv[434] = -0.678440, hard = 0
recv[435] = -0.559858, hard = 0
recv[436] = -0.919307, hard = 0
recv[437] = -0.604966, hard = 0
recv[438] = -1.836197, hard = 0
recv[439] = -0.063930, hard = 0
recv[440] = -1.295343, hard = 0
recv[441] = -1.994674, hard = 0
recv[442] = -0.599869, hard = 0
recv[443] = -0.473658, hard = 0
recv[444] = -0.817890, hard = 0
recv[445] = -1.051377, hard = 0
recv[446] = -1.750795, hard = 0
recv[447] = 0.054740, hard = 1
recv[448] = -0.079601, hard = 0
recv[449] = -0.972679, hard = 0
recv[450] = -0.077604, hard = 0
recv[451] = -1.509926, hard = 0
recv[452] = -1.080404, hard = 0
recv[453] = -1.237647, hard = 0
recv[454] = -1.171987, hard = 0
recv[455] = -0.673158, hard = 0
recv[456] = 0.336203, hard = 1
recv[457] = -2.076842, hard = 0
recv[458] = -2.645606, hard = 0
recv[459] = -1.285937, hard = 0
recv[460] = -0.496408, hard = 0
recv[461] = -1.983868, hard = 0
recv[462] = -1.189152, hard = 0
recv[463] = -1.721932, hard = 0
recv[464] = -2.314407, hard = 0
recv[465] = -1.778289, hard = 0
recv[466] = 0.422330, hard = 1
recv[467] = -0.904441, hard = 0
recv[468] = -1.057371, hard = 0
recv[469] = -1.999299, hard = 0
recv[470] = -0.996578, hard = 0
recv[471] = -0.547233, hard = 0
recv[472] = -1.104208, hard = 0
recv[473] = -1.341788, hard = 0
recv[474] = -0.555780, hard = 0
recv[475] = -0.567197, hard = 0
recv[476] = -0.875291, hard = 0
recv[477] = -0.602922, hard = 0
recv[478] = -1.137942, hard = 0
recv[479] = -1.073842, hard = 0
recv[480] = -1.612874, hard = 0
recv[481] = -1.204563, hard = 0
recv[482] = -1.675185, hard = 0
recv[483] = -1.110854, hard = 0
recv[484] = -0.681791, hard = 0
recv[485] = -0.775023, hard = 0
recv[486] = -2.743872, hard = 0
recv[487] = -1.428419, hard = 0
recv[488] = -1.359870, hard = 0
recv[489] = -1.078719, hard = 0
recv[490] = 0.296597, hard = 1
recv[491] = -1.107595, hard = 0
recv[492] = -0.215632, hard = 0
recv[493] = -0.216410, hard = 0
recv[494] = -1.182975, hard = 0
recv[495] = -0.167643, hard = 0
recv[496] = -1.337899, hard = 0
recv[497] = -0.280746, hard = 0
recv[498] = -1.030741, hard = 0
recv[499] = 0.488572, hard = 1
recv[500] = -1.148512, hard = 0
recv[501] = -1.178882, hard = 0
recv[502] = 0.177439, hard = 1
recv[503] = -1.973540, hard = 0
recv[504] = -1.680940, hard = 0
recv[505] = -0.165762, hard = 0
recv[506] = -0.266324, hard = 0
recv[507] = -0.743297, hard = 0
recv[508] = -1.200113, hard = 0
recv[509] = 0.151902, hard = 1
recv[510] = -0.025434, hard = 0
recv[511] = -2.582971, hard = 0
recv[512] = 0.146554, hard = 1
recv[513] = -0.759777, hard = 0
recv[514] = -0.839788, hard = 0
recv[515] = -1.941456, hard = 0
recv[516] = -2.479460, hard = 0
recv[517] = 0.219005, hard = 1
recv[518] = -1.229340, hard = 0
recv[519] = -1.573545, hard = 0
recv[520] = -1.249034, hard = 0
recv[521] = 0.526530, hard = 1
recv[522] = 0.284875, hard = 1
recv[523] = -0.286842, hard = 0
recv[524] = -0.426662, hard = 0
recv[525] = -0.834744, hard = 0
recv[526] = -1.691804, hard = 0
recv[527] = -1.039899, hard = 0
recv[528] = -1.063513, hard = 0
recv[529] = 0.120786, hard = 1
recv[530] = -1.107905, hard = 0
recv[531] = 0.701791, hard = 1
recv[532] = -0.414029, hard = 0
recv[533] = 0.079304, hard = 1
recv[534] = -2.258517, hard = 0
recv[535] = -0.096828, hard = 0
recv[536] = -0.534639, hard = 0
recv[537] = -1.269779, hard = 0
recv[538] = -2.173629, hard = 0
recv[539] = -1.478510, hard = 0
recv[540] = 0.672364, hard = 1
recv[541] = -0.237397, hard = 0
recv[542] = -1.616485, hard = 0
recv[543] = -1.941505, hard = 0
recv[544] = -2.037055, hard = 0
recv[545] = -1.082862, hard = 0
recv[546] = -1.092845, hard = 0
recv[547] = -0.667695, hard = 0
recv[548] = -2.238921, hard = 0
recv[549] = -1.733698, hard = 0
recv[550] = -0.871693, hard = 0
recv[551] = -0.999613, hard = 0
recv[552] = -0.046658, hard = 0
recv[553] = -1.142672, hard = 0
recv[554] = 0.792128, hard = 1
recv[555] = -1.403485, hard = 0
recv[556] = 0.280624, hard = 1
recv[557] = -1.419396, hard = 0
recv[558] = -0.648982, hard = 0
recv[559] = -0.683799, hard = 0
recv[560] = -0.160934, hard = 0
recv[561] = -1.229223, hard = 0
recv[562] = -1.507779, hard = 0
recv[563] = -0.434309, hard = 0
recv[564] = -0.656719, hard = 0
recv[565] = -0.387867, hard = 0
recv[566] = -2.144812, hard = 0
recv[567] = -0.549415, hard = 0
recv[568] = -0.507377, hard = 0
recv[569] = -1.135179, hard = 0
recv[570] = -0.649218, hard = 0
recv[571] = -0.488738, hard = 0
recv[572] = -0.026607, hard = 0
recv[573] = -2.365697, hard = 0
recv[574] = -0.837662, hard = 0
recv[575] = -1.480695, hard = 0
recv[576] = -0.899324, hard = 0
recv[577] = -0.965358, hard = 0
recv[578] = -1.685974, hard = 0
recv[579] = -2.462966, hard = 0
recv[580] = -0.868516, hard = 0
recv[581] = -1.943871, hard = 0
recv[582] = -1.728983, hard = 0
recv[583] = -1.173199, hard = 0
recv[584] = -0.138350, hard = 0
recv[585] = 0.236294, hard = 1
recv[586] = -0.685135, hard = 0
recv[587] = -0.295771, hard = 0
recv[588] = -1.743134, hard = 0
recv[589] = -1.065622, hard = 0
recv[590] = -1.452084, hard = 0
recv[591] = -1.015328, hard = 0
recv[592] = 0.033034, hard = 1
recv[593] = -1.199938, hard = 0
recv[594] = -0.826217, hard = 0
recv[595] = -1.530922, hard = 0
recv[596] = -1.272996, hard = 0
recv[597] = -1.059793, hard = 0
recv[598] = -0.681744, hard = 0
recv[599] = 0.102949, hard = 1
recv[600] = -1.534856, hard = 0
recv[601] = -2.717911, hard = 0
recv[602] = -0.507715, hard = 0
recv[603] = -1.665777, hard = 0
recv[604] = -2.215676, hard = 0
recv[605] = -1.133041, hard = 0
recv[606] = -0.919550, hard = 0
recv[607] = -1.074681, hard = 0
recv[608] = 0.244102, hard = 1
recv[609] = -0.271095, hard = 0
recv[610] = -1.376261, hard = 0
recv[611] = -1.381566, hard = 0
recv[612] = -1.626076, hard = 0
recv[613] = -1.245649, hard = 0
recv[614] = -1.571203, hard = 0
recv[615] = -0.559795, hard = 0
recv[616] = -0.598062, hard = 0
recv[617] = -0.421599, hard = 0
