recv[346] = -0.952392, hard = 0
recv[347] = -1.368701, hard = 0
recv[348] = -1.934456, hard = 0
recv[349] = -1.384874, hard = 0
recv[350] = -1.584368, hard = 0
recv[351] = -1.868820, hard = 0
recv[352] = -1.580231, hard = 0
recv[353] = -1.718988, hard = 0
recv[354] = -2.059563, hard = 0
recv[355] = -1.367510, hard = 0
recv[356] = -1.897576, hard = 0
recv[357] = -0.302611, hard = 0
recv[358] = -1.760282, hard = 0
recv[359] = -0.111871, hard = 0
recv[360] = -0.059152, hard = 0
recv[361] = -1.056107, hard = 0
recv[362] = 0.588196, hard = 1
recv[363] = -1.553169, hard = 0
recv[364] = -2.259570, hard = 0
recv[365] = -1.589598, hard = 0
recv[366] = -3.707362, hard = 0
recv[367] = -0.552100, hard = 0
recv[368] = -1.741630, hard = 0
recv[369] = -1.648874, hard = 0
recv[370] = -0.814981, hard = 0
recv[371] = 0.020678, hard = 1
recv[372] = -1.192548, hard = 0
recv[373] = -0.707068, hard = 0
recv[374] = -0.519293, hard = 0
recv[375] = -0.890696, hard = 0
recv[376] = -1.954426, hard = 0
recv[377] = -1.718738, hard = 0
recv[378] = -0.397769, hard = 0
recv[379] = -1.248994, hard = 0
recv[380] = -1.495167, hard = 0
recv[381] = -1.631980, hard = 0
recv[382] = -0.784434, hard = 0
recv[383] = -0.682083, hard = 0
recv[384] = 0.978301, hard = 1
recv[385] = -2.557448, hard = 0
recv[386] = -1.129972, hard = 0
recv[387] = -2.215110, hard = 0
recv[388] = -1.400946, hard = 0
recv[389] = -1.184105, hard = 0
recv[390] = -0.746824, hard = 0
recv[391] = 0.739204, hard = 1
recv[392] = -0.585335, hard = 0
recv[393] = -1.243374, hard = 0
recv[394] = -0.728974, hard = 0
recv[395] = 0.680755, hard = 1
recv[396] = 0.562121, hard = 1
recv[397] = -1.473997, hard = 0
recv[398] = -1.336900, hard = 0
recv[399] = -0.083482, hard = 0
recv[400] = -0.771485, hard = 0
recv[401] = 0.142836, hard = 1
recv[402] = -0.642797, hard = 0
recv[403] = -3.059530, hard = 0
recv[404] = -0.937898, hard = 0
recv[405] = -0.424771, hard = 0
recv[406] = -1.354323, hard = 0
recv[407] = -0.418766, hard = 0
recv[408] = -2.091730, hard = 0
recv[409] = -2.420569, hard = 0
recv[410] = -0.271977, hard = 0
recv[411] = -1.766478, hard = 0
recv[412] = -0.599976, hard = 0
recv[413] = -2.561427, hard = 0
recv[414] = -0.701319, hard = 0
recv[415] = 1.188337, hard = 1
recv[416] = 1.054948, hard = 1
recv[417] = -1.488019, hard = 0
recv[418] = -0.880480, hard = 0
recv[419] = -1.912001, hard = 0
recv[420] = -0.831961, hard = 0
recv[421] = -0.348964, hard = 0
recv[422] = -1.956108, hard = 0
recv[423] = 1.080675, hard = 1
recv[424] = -0.498605, hard = 0
recv[425] = 0.815394, hard = 1
recv[426] = -0.577078, hard = 0
recv[427] = -0.573815, hard = 0
recv[428] = -0.624675, hard = 0
recv[429] = 0.876125, hard = 1
recv[430] = -1.466521, hard = 0
recv[431] = -1.153296, hard = 0
recv[432] = -0.431636, hard = 0
recv[433] = -2.607312, hard = 0
recv[434] = -0.134250, hard = 0
recv[435] = 0.202551, hard = 1
recv[436] = -0.230772, hard = 0
recv[437] = -0.974665, hard = 0
recv[438] = -0.277905, hard = 0
recv[439] = -1.692260, hard = 0
recv[440] = -0.339074, hard = 0
recv[441] = -0.842000, hard = 0
recv[442] = -0.852647, hard = 0
recv[443] = -1.669124, hard = 0
recv[444] = -2.190640, hard = 0
recv[445] = -1.517833, hard = 0
recv[446] = -0.760642, hard = 0
recv[447] = -1.439502, hard = 0
recv[448] = -0.999168, hard = 0
recv[449] = -0.461354, hard = 0
recv[450] = -1.108420, hard = 0
recv[451] = -1.960702, hard = 0
recv[452] = -1.723256, hard = 0
recv[453] = -1.478782, hard = 0
recv[454] = -1.137913, hard = 0
recv[455] = -1.048415, hard = 0
recv[456] = -0.006471, hard = 0
recv[457] = -0.984994, hard = 0
recv[458] = -0.133143, hard = 0
recv[459] = 0.480980, hard = 1
recv[460] = -1.240759, hard = 0
recv[461] = -0.492602, hard = 0
recv[462] = -1.136181, hard = 0
recv[463] = -0.698619, hard = 0
recv[464] = -0.659375, hard = 0
recv[465] = -0.007237, hard = 0
recv[466] = -1.541682, hard = 0
recv[467] = -2.270275, hard = 0
recv[468] = -1.680824, hard = 0
recv[469] = -0.932821, hard = 0
recv[470] = -1.646800, hard = 0
recv[471] = -1.694388, hard = 0
recv[472] = -0.380100, hard = 0
recv[473] = -2.616133, hard = 0
recv[474] = -2.313051, hard = 0
recv[475] = 0.059870, hard = 1
recv[476] = -0.252878, hard = 0
recv[477] = -0.223709, hard = 0
recv[478] = -1.188836, hard = 0
recv[479] = 0.227868, hard = 1
recv[480] = -0.427755, hard = 0
recv[481] = -1.070854, hard = 0
recv[482] = -1.203932, hard = 0
recv[483] = 0.301569, hard = 1
recv[484] = -0.199915, hard = 0
recv[485] = -1.343967, hard = 0
recv[486] = -1.246227, hard = 0
recv[487] = -1.073191, hard = 0
recv[488] = -0.533994, hard = 0
recv[489] = -0.242663, hard = 0
recv[490] = -0.631177, hard = 0
recv[491] = -0.477529, hard = 0
recv[492] = -1.008524, hard = 0
recv[493] = 0.348753, hard = 1
recv[494] = -3.650076, hard = 0
recv[495] = -1.928423, hard = 0
recv[496] = -2.668075, hard = 0
recv[497] = -2.249408, hard = 0
recv[498] = -0.338980, hard = 0
recv[499] = 0.264877, hard = 1
recv[500] = -1.272132, hard = 0
recv[501] = -2.448010, hard = 0
recv[502] = -0.873407, hard = 0
recv[503] = -2.097097, hard = 0
recv[504] = 0.180690, hard = 1
recv[505] = -2.512347, hard = 0
recv[506] = 0.053530, hard = 1
recv[507] = -0.167051, hard = 0
recv[508] = -0.537521, hard = 0
recv[509] = -0.752396, hard = 0
recv[510] = -1.079057, hard = 0
recv[511] = -1.417634, hard = 0
recv[512] = -0.900455, hard = 0
recv[513] = -0.683182, hard = 0
recv[514] = 0.007252, hard = 1
recv[515] = -1.549705, hard = 0
recv[516] = -1.685398, hard = 0
recv[517] = -1.762158, hard = 0
recv[518] = -0.507848, hard = 0
recv[519] = -1.475189, hard = 0
recv[520] = -1.200960, hard = 0
recv[521] = -0.600680, hard = 0
recv[522] = -2.365649, hard = 0
recv[523] = -0.926350, hard = 0
recv[524] = -1.019922, hard = 0
recv[525] = -1.823346, hard = 0
recv[526] = -0.526191, hard = 0
recv[527] = -0.919315, hard = 0
recv[528] = -0.679907, hard = 0
recv[529] = -1.595072, hard = 0
recv[530] = -0.990785, hard = 0
recv[531] = -0.679463, hard = 0
recv[532] = -0.684073, hard = 0
recv[533] = -1.087896, hard = 0
recv[534] = -0.495102, hard = 0
recv[535] = -1.065343, hard = 0
recv[536] = -0.454519, hard = 0
recv[537] = -0.471088, hard = 0
recv[538] = -0.271076, hard = 0
recv[539] = -2.425140, hard = 0
recv[540] = -1.325415, hard = 0
recv[541] = -1.803879, hard = 0
recv[542] = -0.746620, hard = 0
recv[543] = 0.212722, hard = 1
recv[544] = -0.672984, hard = 0
recv[545] = -1.248120, hard = 0
recv[546] = -1.841304, hard = 0
recv[547] = -1.124555, hard = 0
recv[548] = -0.430534, hard = 0
recv[549] = -1.735131, hard = 0
recv[550] = -0.537465, hard = 0
recv[551] = -0.933171, hard = 0
recv[552] = -2.021100, hard = 0
recv[553] = 0.095626, hard = 1
recv[554] = -1.260802, hard = 0
recv[555] = -1.223349, hard = 0
recv[556] = -0.795021, hard = 0
recv[557] = -0.029801, hard = 0
recv[558] = 0.081652, hard = 1
recv[559] = -1.881833, hard = 0
recv[560] = -0.246508, hard = 0
recv[561] = -2.120336, hard = 0
recv[562] = -1.375062, hard = 0
recv[563] = 0.074451, hard = 1
recv[564] = -1.608577, hard = 0
recv[565] = -1.407794, hard = 0
recv[566] = -0.469567, hard = 0
recv[567] = -0.113462, hard = 0
recv[568] = -1.791200, hard = 0
recv[569] = -0.439511, hard = 0
recv[570] = 0.548544, hard = 1
recv[571] = -1.573758, hard = 0
recv[572] = -0.996181, hard = 0
recv[573] = -1.585285, hard = 0
recv[574] = -0.881330, hard = 0
recv[575] = -0.974735, hard = 0
recv[576] = -0.765411, hard = 0
recv[577] = -1.036818, hard = 0
recv[578] = 0.029525, hard = 1
recv[579] = -0.891836, hard = 0
recv[580] = -1.468990, hard = 0
recv[581] = -0.970617, hard = 0
recv[582] = -1.427434, hard = 0
recv[583] = -0.394476, hard = 0
recv[584] = -1.179479, hard = 0
recv[585] = 0.485747, hard = 1
recv[586] = -0.227576, hard = 0
recv[587] = -1.016945, hard = 0
recv[588] = -1.923846, hard = 0
recv[589] = -1.010572, hard = 0
recv[590] = -1.069513, hard = 0
recv[591] = -0.225227, hard = 0
recv[592] = -1.212994, hard = 0
recv[593] = -0.267759, hard = 0
recv[594] = -3.403708, hard = 0
recv[595] = -1.328951, hard = 0
recv[596] = -0.963760, hard = 0
recv[597] = -2.576151, hard = 0
recv[598] = -1.225230, hard = 0
recv[599] = -2.406730, hard = 0
recv[600] = -0.726539, hard = 0
recv[601] = -1.019366, hard = 0
recv[602] = -0.396625, hard = 0
recv[603] = -0.604271, hard = 0
recv[604] = 0.169637, hard = 1
recv[605] = -0.644546, hard = 0
recv[606] = -2.141685, hard = 0
recv[607] = -1.077641, hard = 0
recv[608] = -0.133972, hard = 0
recv[609] = -0.686820, hard = 0
recv[610] = -1.476938, hard = 0
recv[611] = -0.922919, hard = 0
recv[612] = -0.857954, hard = 0
recv[613] = -1.702895, hard = 0
recv[614] = -0.977467, hard = 0
recv[615] = -0.823797, hard = 0
recv[616] = -1.029097, hard = 0
recv[617] = -0.784492, hard = 0
recv[618] = 0.162000, hard = 1
recv[619] = 0.965314, hard = 1
recv[620] = -0.156325, hard = 0
recv[621] = -0.718928, hard = 0
recv[622] = -1.249395, hard = 0
recv[623] = -0.293515, hard = 0
recv[624] = -1.397297, hard = 0
recv[625] = -0.902335, hard = 0
recv[626] = -1.574431, hard = 0
recv[627] = -2.113254, hard = 0
recv[628] = -1.602128, hard = 0
recv[629] = -0.830728, hard = 0
recv[630] = 1.287991, hard = 1
recv[631] = -0.451366, hard = 0
recv[632] = -1.616165, hard = 0
recv[633] = -0.776102, hard = 0
recv[634] = -0.865231, hard = 0
recv[635] = 0.602936, hard = 1
recv[636] = -0.472874, hard = 0
recv[637] = -1.276101, hard = 0
recv[638] = -0.410645, hard = 0
recv[639] = -0.647930, hard = 0
recv[640] = -0.380055, hard = 0
recv[641] = -1.483104, hard = 0
recv[642] = -0.623733, hard = 0
recv[643] = -0.812792, hard = 0
recv[644] = -1.733723, hard = 0
recv[645] = -0.684976, hard = 0
recv[646] = 0.549029, hard = 1
recv[647] = -1.509077, hard = 0
recv[648] = -0.680597, hard = 0
recv[649] = -0.449765, hard = 0
recv[650] = -0.777961, hard = 0
recv[651] = -0.098875, hard = 0
recv[652] = -0.289522, hard = 0
recv[653] = -0.917906, hard = 0
recv[654] = -1.372429, hard = 0
recv[655] = -0.518918, hard = 0
recv[656] = -1.750898, hard = 0
recv[657] = -1.578862, hard = 0
recv[658] = -1.591222, hard = 0
recv[659] = -1.079484, hard = 0
recv[660] = 0.051190, hard = 1
recv[661] = 0.763680, hard = 1
recv[662] = -2.041826, hard = 0
recv[663] = -1.301704, hard = 0
recv[664] = -0.707428, hard = 0
recv[665] = -1.173167, hard = 0
recv[666] = -0.890758, hard = 0
recv[667] = -0.254732, hard = 0
recv[668] = -0.693510, hard = 0
recv[669] = -1.118755, hard = 0
recv[670] = -0.931785, hard = 0
recv[671] = -1.377092, hard = 0
recv[672] = -1.395097, hard = 0
recv[673] = -2.413174, hard = 0
recv[674] = -2.043663, hard = 0
recv[675] = -0.011370, hard = 0
recv[676] = -1.822754, hard = 0
recv[677] = -1.016721, hard = 0
recv[678] = -0.150876, hard = 0
recv[679] = -0.698494, hard = 0
recv[680] = 0.698894, hard = 1
recv[681] = 1.461450, hard = 1
recv[682] = -1.801580, hard = 0
recv[683] = 0.737538, hard = 1
recv[684] = -1.253014, hard = 0
recv[685] = -0.245330, hard = 0
recv[686] = -2.161717, hard = 0
recv[687] = -0.830737, hard = 0
recv[688] = -0.258661, hard = 0
recv[689] = -1.085028, hard = 0
recv[690] = -1.070306, hard = 0
recv[691] = -0.198523, hard = 0
recv[692] = -1.387180, hard = 0
recv[693] = -0.176145, hard = 0
recv[694] = -0.740256, hard = 0
recv[695] = -1.474579, hard = 0
recv[696] = -2.091973, hard = 0
recv[697] = -1.702977, hard = 0
recv[698] = -0.091560, hard = 0
recv[699] = -1.044433, hard = 0
recv[700] = -0.097469, hard = 0
recv[701] = -0.474639, hard = 0
recv[702] = -0.370565, hard = 0
recv[703] = -0.954555, hard = 0
recv[704] = -2.260610, hard = 0
recv[705] = -1.676821, hard = 0
recv[706] = -0.540351, hard = 0
recv[707] = -0.975838, hard = 0
recv[708] = -2.161373, hard = 0
recv[709] = -1.156162, hard = 0
recv[710] = -1.198166, hard = 0
recv[711] = -0.743714, hard = 0
recv[712] = -0.497357, hard = 0
recv[713] = -1.607875, hard = 0
recv[714] = -1.082450, hard = 0
recv[715] = -1.691449, hard = 0
recv[716] = -0.834189, hard = 0
recv[717] = -0.394986, hard = 0
recv[718] = -1.895346, hard = 0
recv[719] = -1.094076, hard = 0
recv[720] = -1.815178, hard = 0
recv[721] = -0.150466, hard = 0
recv[722] = -0.765320, hard = 0
recv[723] = 0.065866, hard = 1
recv[724] = -0.681649, hard = 0
recv[725] = -0.944675, hard = 0
recv[726] = 0.283947, hard = 1
recv[727] = -0.830231, hard = 0
recv[728] = -0.467502, hard = 0
recv[729] = -1.766707, hard = 0
recv[730] = -0.917365, hard = 0
recv[731] = -1.601309, hard = 0
recv[732] = -1.121979, hard = 0
recv[733] = -0.863293, hard = 0
recv[734] = -1.886495, hard = 0
recv[735] = -0.406141, hard = 0
recv[736] = -2.695333, hard = 0
recv[737] = -1.828391, hard = 0
recv[738] = -1.096926, hard = 0
recv[739] = -1.007009, hard = 0
recv[740] = -2.813534, hard = 0
recv[741] = -1.022525, hard = 0
recv[742] = -0.099300, hard = 0
recv[743] = -0.473743, hard = 0
recv[744] = -0.545493, hard = 0
recv[745] = -0.796487, hard = 0
recv[746] = -0.270849, hard = 0
recv[747] = -0.628903, hard = 0
recv[748] = -1.615713, hard = 0
recv[749] = -1.981643, hard = 0
recv[750] = -0.710539, hard = 0
recv[751] = -1.795967, hard = 0
recv[752] = -1.416535, hard = 0
recv[753] = -1.743358, hard = 0
recv[754] = -1.209638, hard = 0
recv[755] = -1.308806, hard = 0
recv[756] = -1.596668, hard = 0
recv[757] = -1.994720, hard = 0
recv[758] = -1.819031, hard = 0
recv[759] = -0.762968, hard = 0
recv[760] = -0.541669, hard = 0
recv[761] = -1.148691, hard = 0
recv[762] = -1.381831, hard = 0
recv[763] = -1.060927, hard = 0
recv[764] = -0.125503, hard = 0
recv[765] = -1.698242, hard = 0
recv[766] = -1.187592, hard = 0
recv[767] = -1.874002, hard = 0
recv[768] = -0.516459, hard = 0
recv[769] = -0.648954, hard = 0
recv[770] = -0.982889, hard = 0
recv[771] = -0.876064, hard = 0
recv[772] = -0.315392, hard = 0
recv[773] = -0.782127, hard = 0
recv[774] = -0.341728, hard = 0
recv[775] = -1.788581, hard = 0
recv[776] = -1.413364, hard = 0
