recv[306] = -0.208570, hard = 0
recv[307] = -0.899696, hard = 0
recv[308] = 1.579465, hard = 1
recv[309] = -0.682613, hard = 0
recv[310] = -1.367353, hard = 0
recv[311] = 2.049946, hard = 1
recv[312] = -0.864944, hard = 0
recv[313] = -0.267298, hard = 0
recv[314] = -0.142439, hard = 0
recv[315] = -0.424730, hard = 0
recv[316] = -2.397360, hard = 0
recv[317] = 0.110108, hard = 1
recv[318] = 1.709816, hard = 1
recv[319] = -1.625078, hard = 0
recv[320] = 0.865356, hard = 1
recv[321] = 1.629444, hard = 1
recv[322] = 0.813509, hard = 1
recv[323] = -1.140674, hard = 0
recv[324] = -1.495984, hard = 0
recv[325] = 0.498375, hard = 1
recv[326] = -0.634861, hard = 0
recv[327] = -0.440809, hard = 0
recv[328] = -0.133420, hard = 0
recv[329] = -0.416434, hard = 0
recv[330] = -1.447429, hard = 0
recv[331] = -2.049635, hard = 0
recv[332] = 1.249674, hard = 1
recv[333] = -0.904773, hard = 0
recv[334] = -0.399034, hard = 0
recv[335] = -1.501332, hard = 0
recv[336] = -1.459026, hard = 0
recv[337] = -1.578042, hard = 0
recv[338] = 0.032884, hard = 1
recv[339] = 0.549142, hard = 1
recv[340] = 1.444899, hard = 1
recv[341] = 0.420525, hard = 1
recv[342] = 0.080761, hard = 1
recv[343] = -1.701206, hard = 0
recv[344] = 1.015995, hard = 1
recv[345] = -1.170418, hard = 0
recv[346] = -0.725030, hard = 0
recv[347] = -1.823432, hard = 0
recv[348] = -0.648868, hard = 0
recv[349] = 0.141385, hard = 1
recv[350] = 2.257023, hard = 1
recv[351] = -0.763643, hard = 0
recv[352] = -1.695703, hard = 0
recv[353] = -1.281674, hard = 0
recv[354] = 1.584897, hard = 1
recv[355] = 2.196236, hard = 1
recv[356] = -0.313572, hard = 0
recv[357] = 1.625314, hard = 1
recv[358] = 0.379738, hard = 1
recv[359] = 1.825169, hard = 1
recv[360] = -0.822264, hard = 0
recv[361] = -0.024868, hard = 0
recv[362] = 0.873252, hard = 1
recv[363] = 0.837132, hard = 1
recv[364] = -2.135006, hard = 0
recv[365] = 0.754656, hard = 1
recv[366] = 0.528396, hard = 1
recv[367] = -0.671581, hard = 0
recv[368] = 1.449922, hard = 1
recv[369] = -1.086121, hard = 0
recv[370] = -0.784255, hard = 0
recv[371] = 1.808230, hard = 1
recv[372] = 1.980341, hard = 1
recv[373] = -0.000053, hard = 0
recv[374] = -0.414575, hard = 0
recv[375] = 1.223740, hard = 1
recv[376] = -0.324499, hard = 0
recv[377] = 0.411248, hard = 1
recv[378] = 2.110682, hard = 1
recv[379] = -1.015124, hard = 0
recv[380] = -1.603562, hard = 0
recv[381] = 0.644735, hard = 1
recv[382] = 0.549005, hard = 1
recv[383] = -1.056495, hard = 0
recv[384] = 0.994277, hard = 1
recv[385] = 0.407503, hard = 1
recv[386] = 0.079960, hard = 1
recv[387] = -1.594374, hard = 0
recv[388] = -0.171223, hard = 0
recv[389] = -1.328915, hard = 0
recv[390] = -0.500731, hard = 0
recv[391] = -1.199659, hard = 0
recv[392] = 1.404313, hard = 1
recv[393] = 2.098952, hard = 1
recv[394] = -1.202915, hard = 0
recv[395] = -1.757813, hard = 0
recv[396] = -0.090374, hard = 0
recv[397] = 1.175634, hard = 1
recv[398] = 0.352991, hard = 1
recv[399] = 1.827297, hard = 1
recv[400] = -0.597452, hard = 0
recv[401] = 1.982429, hard = 1
recv[402] = 1.092583, hard = 1
recv[403] = 0.519012, hard = 1
recv[404] = -1.409176, hard = 0
recv[405] = -1.322330, hard = 0
recv[406] = -0.253486, hard = 0
recv[407] = 0.005792, hard = 1
recv[408] = 1.031410, hard = 1
recv[409] = -1.266227, hard = 0
recv[410] = -0.794605, hard = 0
recv[411] = -2.005058, hard = 0
recv[412] = 0.856490, hard = 1
recv[413] = 2.035083, hard = 1
recv[414] = 0.500541, hard = 1
recv[415] = -1.141059, hard = 0
recv[416] = -1.703265, hard = 0
recv[417] = -0.539824, hard = 0
recv[418] = 0.616997, hard = 1
recv[419] = -0.711129, hard = 0
recv[420] = 0.148364, hard = 1
recv[421] = -0.491412, hard = 0
recv[422] = -2.781668, hard = 0
recv[423] = -0.380621, hard = 0
recv[424] = -0.087788, hard = 0
recv[425] = 1.106476, hard = 1
recv[426] = 0.231376, hard = 1
