recv[250] = 0.803556, hard = 1
recv[251] = 0.054451, hard = 1
recv[252] = -0.586621, hard = 0
recv[253] = -1.461749, hard = 0
recv[254] = -0.116509, hard = 0
recv[255] = -0.387756, hard = 0
recv[256] = 1.134487, hard = 1
recv[257] = -0.601607, hard = 0
recv[258] = 1.716305, hard = 1
recv[259] = 1.508814, hard = 1
recv[260] = 0.811554, hard = 1
recv[261] = -0.951037, hard = 0
recv[262] = -1.388158, hard = 0
recv[263] = 0.430623, hard = 1
recv[264] = -0.652682, hard = 0
recv[265] = 1.747259, hard = 1
recv[266] = -0.818237, hard = 0
recv[267] = 1.836720, hard = 1
recv[268] = 2.140982, hard = 1
recv[269] = -0.143303, hard = 0
recv[270] = -0.369156, hard = 0
recv[271] = 1.027022, hard = 1
recv[272] = 0.503418, hard = 1
recv[273] = -0.635712, hard = 0
recv[274] = -0.793011, hard = 0
recv[275] = 0.358128, hard = 1
recv[276] = 1.484837, hard = 1
recv[277] = -1.081781, hard = 0
recv[278] = -1.826962, hard = 0
recv[279] = -0.732722, hard = 0
recv[280] = 0.803182, hard = 1
recv[281] = -0.398904, hard = 0
recv[282] = 1.745721, hard = 1
recv[283] = -1.183911, hard = 0
recv[284] = 0.007890, hard = 1
recv[285] = 0.785942, hard = 1
recv[286] = -0.273836, hard = 0
recv[287] = 1.019499, hard = 1
recv[288] = -0.871915, hard = 0
recv[289] = -1.174491, hard = 0
recv[290] = 0.883376, hard = 1
recv[291] = -0.884464, hard = 0
recv[292] = -0.668221, hard = 0
recv[293] = -0.506176, hard = 0
recv[294] = -0.995642, hard = 0
recv[295] = 1.017137, hard = 1
recv[296] = -1.474704, hard = 0
recv[297] = -1.612053, hard = 0
recv[298] = -0.175959, hard = 0
recv[299] = -1.193658, hard = 0
recv[300] = -0.798268, hard = 0
recv[301] = 0.166242, hard = 1
recv[302] = 0.943320, hard = 1
recv[303] = -1.653366, hard = 0
recv[304] = 0.615161, hard = 1
recv[305] = -0.533498, hard = 0
recv[306] = 1.447765, hard = 1
recv[307] = 1.285053, hard = 1
recv[308] = 0.283706, hard = 1
recv[309] = -1.341397, hard = 0
recv[310] = 0.458133, hard = 1
recv[311] = 0.732114, hard = 1
recv[312] = -1.559265, hard = 0
recv[313] = 2.234526, hard = 1
recv[314] = 1.896314, hard = 1
recv[315] = -0.817614, hard = 0
recv[316] = -0.018411, hard = 0
recv[317] = -1.990129, hard = 0
recv[318] = 0.652591, hard = 1
recv[319] = 2.439197, hard = 1
recv[320] = -1.012611, hard = 0
recv[321] = 0.491031, hard = 1
recv[322] = -0.819551, hard = 0
recv[323] = 0.807766, hard = 1
recv[324] = -1.712180, hard = 0
recv[325] = 0.752004, hard = 1
recv[326] = 1.496859, hard = 1
recv[327] = 1.208636, hard = 1
recv[328] = -2.299883, hard = 0
recv[329] = 0.992448, hard = 1
recv[330] = -1.516146, hard = 0
recv[331] = -2.029455, hard = 0
recv[332] = -1.130604, hard = 0
recv[333] = 0.877494, hard = 1
recv[334] = -1.240305, hard = 0
recv[335] = -0.139233, hard = 0
recv[336] = -1.841309, hard = 0
recv[337] = 0.210631, hard = 1
recv[338] = 0.278421, hard = 1
recv[339] = -0.959726, hard = 0
recv[340] = -1.140711, hard = 0
recv[341] = 2.105550, hard = 1
recv[342] = -0.238860, hard = 0
recv[343] = 0.840460, hard = 1
recv[344] = -0.444281, hard = 0
recv[345] = -0.531312, hard = 0
recv[346] = -0.742826, hard = 0
recv[347] = 0.269049, hard = 1
recv[348] = -0.039428, hard = 0
recv[349] = -0.596835, hard = 0
recv[350] = -1.759332, hard = 0
recv[351] = -1.083051, hard = 0
recv[352] = -0.955190, hard = 0
recv[353] = -1.411328, hard = 0
recv[354] = 1.644426, hard = 1
recv[355] = 1.724978, hard = 1
recv[356] = 0.267488, hard = 1
recv[357] = -1.867872, hard = 0
recv[358] = 0.600911, hard = 1
recv[359] = -0.373003, hard = 0
recv[360] = -2.876299, hard = 0
recv[361] = -1.355658, hard = 0
recv[362] = 0.790429, hard = 1
recv[363] = -1.832475, hard = 0
recv[364] = -1.510828, hard = 0
recv[365] = 0.694305, hard = 1
recv[366] = -0.103874, hard = 0
recv[367] = -1.310267, hard = 0
recv[368] = 1.372410, hard = 1
recv[369] = 0.826863, hard = 1
recv[370] = -0.754695, hard = 0
recv[371] = -1.764576, hard = 0
recv[372] = 1.696153, hard = 1
recv[373] = 0.473117, hard = 1
recv[374] = 1.432734, hard = 1
recv[375] = 2.634474, hard = 1
recv[376] = -0.957796, hard = 0
recv[377] = -0.657573, hard = 0
recv[378] = -1.198518, hard = 0
recv[379] = -2.187799, hard = 0
recv[380] = -0.879708, hard = 0
recv[381] = -3.184725, hard = 0
recv[382] = -0.888392, hard = 0
recv[383] = -1.547672, hard = 0
recv[384] = -0.695206, hard = 0
recv[385] = -0.641898, hard = 0
recv[386] = -0.421141, hard = 0
recv[387] = 1.157868, hard = 1
recv[388] = 0.869393, hard = 1
recv[389] = 0.520727, hard = 1
recv[390] = -0.143919, hard = 0
recv[391] = 0.699625, hard = 1
recv[392] = 0.002972, hard = 1
recv[393] = 0.308313, hard = 1
recv[394] = 1.217418, hard = 1
recv[395] = -0.208345, hard = 0
recv[396] = 1.366994, hard = 1
recv[397] = -0.150651, hard = 0
recv[398] = -0.915006, hard = 0
recv[399] = -1.181075, hard = 0
recv[400] = 1.970667, hard = 1
recv[401] = -0.243019, hard = 0
recv[402] = -1.677907, hard = 0
recv[403] = 1.018980, hard = 1
recv[404] = 0.376071, hard = 1
recv[405] = -2.411208, hard = 0
recv[406] = -1.590331, hard = 0
recv[407] = -1.645567, hard = 0
recv[408] = -0.453855, hard = 0
recv[409] = 1.073532, hard = 1
recv[410] = -1.444120, hard = 0
recv[411] = 0.216072, hard = 1
recv[412] = 1.074910, hard = 1
recv[413] = -1.318342, hard = 0
recv[414] = 2.175333, hard = 1
recv[415] = 0.647084, hard = 1
recv[416] = 1.645147, hard = 1
recv[417] = -2.593308, hard = 0
recv[418] = 0.663954, hard = 1
recv[419] = -1.311012, hard = 0
recv[420] = 1.937286, hard = 1
recv[421] = 0.038993, hard = 1
recv[422] = -1.085527, hard = 0
recv[423] = -1.492974, hard = 0
recv[424] = -0.534904, hard = 0
recv[425] = 0.356218, hard = 1
recv[426] = -0.783741, hard = 0
recv[427] = 0.670485, hard = 1
recv[428] = -1.008154, hard = 0
recv[429] = -1.344727, hard = 0
recv[430] = -1.291336, hard = 0
recv[431] = 1.113397, hard = 1
recv[432] = 0.185815, hard = 1
recv[433] = -0.055725, hard = 0
recv[434] = 0.891101, hard = 1
recv[435] = -0.763750, hard = 0
recv[436] = 0.740961, hard = 1
recv[437] = -2.052859, hard = 0
recv[438] = 0.395212, hard = 1
recv[439] = -1.318810, hard = 0
recv[440] = 0.465878, hard = 1
recv[441] = 0.439693, hard = 1
recv[442] = 1.335230, hard = 1
recv[443] = 0.991805, hard = 1
recv[444] = 1.977165, hard = 1
recv[445] = 0.418306, hard = 1
recv[446] = -0.089116, hard = 0
recv[447] = 1.050960, hard = 1
recv[448] = -0.514500, hard = 0
recv[449] = -1.317991, hard = 0
recv[450] = -2.690602, hard = 0
recv[451] = -0.546114, hard = 0
recv[452] = -0.793179, hard = 0
recv[453] = 2.204243, hard = 1
recv[454] = -1.754641, hard = 0
recv[455] = 0.216372, hard = 1
recv[456] = 0.823560, hard = 1
recv[457] = -1.307022, hard = 0
recv[458] = -0.920861, hard = 0
recv[459] = -0.890542, hard = 0
recv[460] = 0.044153, hard = 1
recv[461] = 0.940973, hard = 1
recv[462] = -2.561811, hard = 0
recv[463] = -0.588865, hard = 0
recv[464] = 0.445227, hard = 1
recv[465] = 0.560070, hard = 1
recv[466] = 0.036890, hard = 1
recv[467] = 0.803419, hard = 1
recv[468] = -0.437822, hard = 0
recv[469] = -0.044008, hard = 0
recv[470] = 0.562920, hard = 1
